371	-8.2	-70.4
372	-6.9	-57.2
373	-6.3	-43.8
374	-6.5	-31.4
375	-7.2	-21
376	-8.4	-13.1
377	-10.2	-7.9
378	-12.7	-5.4
379	-16	-5.1
380	-20.1	-6.4
381	-25	-8.6
382	-30.5	-11
383	-36	-13.1
384	-40.9	-14.4
385	-44.8	-14.7
386	-47.1	-14
387	-47.8	-12.4
388	-47.1	-10.1
389	-45.1	-7.3
390	-42.5	-4.2
391	-39.4	-0.8
392	-36.3	2.8
393	-33	6.4
394	-29.5	10.1
395	-25.6	13.6
396	-20.9	16.7
397	-15.6	19.2
398	-9.6	20.6
399	-3.6	20.8
400	1.8	19.6
401	6	16.8
402	8.3	12.7
403	8.6	7.4
404	7	1.2
405	4.1	-5.6
406	1	-12.6
407	-1.3	-19.4
408	-1.9	-25.8
409	-0.3	-31.4
410	3.6	-36.1
411	9.1	-39.7
412	15.4	-42.2
413	21.2	-43.4
414	25.4	-43.5
415	27.4	-42.5
416	26.6	-40.6
417	23.1	-38
418	17.2	-35.3
419	9.6	-32.8
420	0.6	-31
421	-9.1	-30.3
422	-19.5	-31.1
423	-30.3	-33.4
424	-41.5	-37
425	-52.8	-41.5
426	-63.8	-46.4
427	-73.5	-50.9
428	-80.9	-54.2
429	-84.8	-55.7
430	-84.5	-54.8
431	-79.3	-51.1
432	-69.6	-44.6
433	-56	-35.5
434	-40.1	-24.3
435	-23.2	-11.7
436	-7.1	1.3
437	7.2	13.6
438	19	24
439	28.5	31.5
440	36.3	35.5
441	43.2	35.7
442	49.9	32.1
443	57.2	25.6
444	64.7	16.9
445	71.9	7.4
446	77.7	-2.1
447	80.7	-10.6
448	79.6	-17.7
449	74	-23.2
450	63.9	-27.3
451	50.4	-30.5
452	35.2	-33.1
453	20.1	-35.5
454	6.9	-37.9
455	-3.6	-40.3
456	-11.3	-42.4
457	-16.7	-44.1
458	-20.8	-44.8
459	-24.7	-44.4
460	-29.2	-42.7
461	-34.6	-39.7
462	-40.5	-35.7
463	-46	-30.9
464	-49.7	-25.8
465	-50.5	-20.7
466	-47.7	-16
467	-41.2	-11.7
468	-31.8	-7.9
469	-20.9	-4.6
470	-10	-1.5
471	-0.8	1.6
472	5.8	5
473	9.5	8.8
474	10.7	13.2
475	10.1	18.1
476	8.6	23.2
477	6.7	28.2
478	4.6	32.8
479	1.9	36.6
480	-2.2	39.3
481	-8.1	40.6
482	-16.3	40.4
483	-26.6	38.8
484	-38.1	35.9
485	-49.6	31.9
486	-59.4	26.9
487	-65.8	20.9
488	-67.5	14.1
489	-64	6.3
490	-55.4	-2.5
491	-42.6	-12.4
492	-27.2	-23
493	-10.9	-34.3
494	4.9	-45.5
495	18.9	-56
496	30.6	-65
497	40.2	-71.6
498	47.7	-74.8
499	53.6	-73.9
500	57.9	-68.7
501	60.5	-58.9
502	60.8	-45.2
503	58.4	-28.6
504	52.8	-10.7
505	43.7	6.3
506	31.3	20.4
507	16	29.4
508	-1.1	32
509	-18.8	27.7
510	-35.7	17.1
511	-50.8	1.9
512	-63.4	-15.8
513	-73	-33.7
514	-79.8	-49.6
515	-84.2	-62
516	-86.5	-70.1
517	-87	-73.4
518	-85.9	-72.4
519	-83.2	-67.4
520	-78.9	-59.4
521	-73.1	-49.2
522	-65.9	-37.5
523	-57.8	-25.1
524	-49.1	-12.5
525	-40.4	-0.2
526	-32.3	11.3
527	-24.9	21.9
528	-18.6	31.1
529	-13.4	38.7
530	-9	44.4
531	-5.4	47.9
532	-2.1	49.1
533	0.9	47.7
534	3.8	43.8
535	6.6	37.6
536	9	29.4
537	10.8	19.6
538	12	8.8
539	12.6	-2.4
540	12.9	-13.2
541	13.3	-23.2
542	14	-32
543	15.1	-39.1
544	16.8	-44.5
545	18.8	-48.1
546	20.6	-50.1
547	21.6	-50.6
548	21.5	-49.8
549	19.9	-48
550	16.6	-45.2
551	11.9	-41.7
552	6.1	-37.4
553	-0.2	-32.5
554	-6.4	-27
555	-11.9	-20.9
556	-16.6	-14.1
557	-20.6	-6.6
558	-24.4	1.3
559	-28.5	9.6
560	-33.6	17.6
561	-39.7	24.9
562	-46.8	30.8
563	-54	34.5
564	-60.2	35.7
565	-64.3	34
566	-65.4	29.7
567	-63.3	23.2
568	-58.3	15.2
569	-51.5	6.3
570	-44.2	-2.8
571	-37.7	-11.6
572	-33.1	-19.6
573	-31	-26.7
574	-31.3	-32.6
575	-33.5	-37.4
576	-36.5	-41.1
577	-39.3	-43.5
578	-41.1	-44.7
579	-41.6	-44.5
580	-41.1	-42.6
581	-40.5	-38.7
582	-40.7	-32.5
583	-42.8	-23.9
584	-47.4	-12.9
585	-54.3	0.1
586	-62.3	14.2
587	-69.9	28.2
588	-75.5	40.7
589	-77.8	50.2
590	-76.2	55.7
591	-71.1	56.3
592	-63.1	51.6
593	-53.8	42.1
594	-44.4	28.5
595	-36.2	11.8
596	-29.7	-6.7
597	-24.8	-25.7
598	-20.7	-44
599	-16.3	-60.7
600	-10.5	-75.4
601	-2.3	-87.6
602	8.5	-97.3
603	21.2	-104.6
604	34.6	-109.7
605	46.9	-112.4
606	56.2	-112.8
607	61.5	-110.6
608	62.4	-105.4
609	59.8	-97.1
610	55	-85.3
611	49.6	-70.5
612	44.9	-52.8
613	41.6	-33.3
614	39.5	-12.7
615	38	7.9
616	36	27.4
617	32.3	45
618	26.2	60.1
619	17.6	72.3
620	7	81.5
621	-4.5	87.9
622	-15.4	91.8
623	-24.2	93.7
624	-29.9	93.7
625	-32.2	92.3
626	-31.4	89.4
627	-28.6	84.9
628	-25.1	78.6
629	-22.1	70.5
630	-20.5	60.5
631	-19.9	48.8
632	-20	35.9
633	-19.6	22.4
634	-18	9.1
635	-14.8	-3.3
636	-10.2	-14.5
637	-5	-24.2
638	-0.5	-32.3
639	2.1	-39.1
640	1.7	-44.9
641	-2	-49.9
642	-9	-54.3
643	-18.5	-58.2
644	-29.2	-61.4
645	-39.6	-63.5
646	-48.5	-64.1
647	-55	-62.8
648	-59	-58.9
649	-60.8	-52.3
650	-61.4	-43
651	-61.6	-31.4
652	-62.1	-18.4
653	-63	-4.9
654	-63.8	7.7
655	-63.7	18.2
656	-62	25.6
657	-58.2	29.5
658	-52.4	29.7
659	-45.3	26.6
660	-38.1	20.9
661	-31.9	13.7
662	-27.9	5.7
663	-26.9	-1.9
